timestamp_utc,elapsed_s,sender,spo2_percent,pulse_bpm,perfusion_index,plausible,raw_frame_hex,raw_notification_hex,remainder_hex
2026-01-23T17:21:44.433+00:00,7.016000,0x000b,90,65,0,1,f1-5a-41-00-8e-03-1d,f1-5a-41-00-8e-03-1d,
2026-01-23T17:21:49.433+00:00,12.016000,0x000b,90,60,0,1,f1-5a-3c-00-8f-03-19,f1-5a-3c-00-8f-03-19,
2026-01-23T17:21:54.433+00:00,17.016000,0x000b,91,60,0,1,f1-5b-3c-00-8c-03-17,f1-5b-3c-00-8c-03-17,
2026-01-23T17:21:59.473+00:00,22.062000,0x000b,92,60,0,1,f1-5c-3c-00-8f-03-1b,f1-5c-3c-00-8f-03-1b,
2026-01-23T17:22:05.432+00:00,28.016000,0x000b,92,62,0,1,f1-5c-3e-00-99-03-27,f1-5c-3e-00-99-03-27,
2026-01-23T17:22:10.451+00:00,33.047000,0x000b,92,72,0,1,f1-5c-48-00-86-03-1e,f1-5c-48-00-86-03-1e,
2026-01-23T17:22:16.432+00:00,39.016000,0x000b,92,80,0,1,f1-5c-50-00-68-03-08,f1-5c-50-00-68-03-08,
2026-01-23T17:22:21.432+00:00,44.016000,0x000b,91,80,0,1,f1-5b-50-00-4e-03-ed,f1-5b-50-00-4e-03-ed,
2026-01-23T17:22:26.434+00:00,49.016000,0x000b,89,75,0,1,f1-59-4b-00-4f-03-e7,f1-59-4b-00-4f-03-e7,
2026-01-23T17:22:31.472+00:00,54.062000,0x000b,89,66,0,1,f1-59-42-00-59-03-e8,f1-59-42-00-59-03-e8,
2026-01-23T17:22:36.472+00:00,59.062000,0x000b,91,69,0,1,f1-5b-45-00-75-03-09,f1-5b-45-00-75-03-09,
2026-01-23T17:22:42.432+00:00,65.016000,0x000b,92,75,0,1,f1-5c-4b-00-78-03-13,f1-5c-4b-00-78-03-13,
